Qbf.m3s,Bbf.m,Hbf.m,S,D50.mm
2012.30773202907,103.05,5.985,0.00098,63
186.8911875072,47.749968,1.429512,0.0022,64.5
203,79.9,1.37,0.0033,70
16.14060255744,11.59764,0.694944,0.0074,70
2928.89317447916,195.5,4.74,0.00149,70
66,17.63,1.79,0.0048,71
157,39.33,2.64,0.0009,72
58,18.41,1.36,0.0057,74
64,17.36,1.78,0.0044,75
260,55.78,2.77,0.0007,75
370,58,3.6,0.0015,77
278,76.8,1.49,0.0037,79
5440,280,6.95,0.00052,80
66,19.03,1.36,0.0105,82
53.8,43.9,0.792,0.0035,89
36.5,13.7,1.06,0.0137,89
5.861587244544,7.65048,0.56388,0.0186,96
3.39802159104,11.131296,0.524256,0.031,100
212,42.64,2.09,0.0036,104
7.079211648,8.430768,0.512064,0.00158,105
116.0990710272,59.8932,1.048512,0.0026,105.5
10,14.04,0.73,0.0064,106
43.8911122176,23.664672,1.0668,0.0053,107
6.22970625024,8.644128,0.47244,0.0104,107.5
25.4851619328,21.500592,0.768096,0.0043,108
4.2475269888,8.805672,0.347472,0.0213,109.5
10.7,9.84,0.73,0.013,113
170,39.9,1.89,0.0074,113
3.39802159104,5.571744,0.249936,0.0195,115
24.91882500096,12.874752,0.935736,0.0158,117.5
28.316846592,25.523952,0.728472,0.0022,123
65.1287471616,22.728936,1.039368,0.0231,135
52.4,35.1,0.762,0.015,145
53.8020085248,27.913584,1.243584,0.005,145
60.31488324096,34.024824,1.228344,0.0025,155
56.633693184,34.058352,1.133856,0.0059,155
41.62576449024,23.429976,1.167384,0.0055,157.5
24.91882500096,13.47216,0.801624,0.0113,167.5
